Year,Series,flokkur,eind,Value
1988,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
1988,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
1988,Løgting,Miðflokkurin,Tal av sætum,
1990,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
1990,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
1990,Løgting,Miðflokkurin,Tal av sætum,
1992,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
1992,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
1992,Løgting,Miðflokkurin,Tal av sætum,
1994,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
1994,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
1994,Løgting,Miðflokkurin,Tal av sætum,2.0
1996,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
1996,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
1996,Løgting,Miðflokkurin,Tal av sætum,
1998,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
1998,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
1998,Løgting,Miðflokkurin,Tal av sætum,1.0
2000,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
2000,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
2000,Løgting,Miðflokkurin,Tal av sætum,
2002,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
2002,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
2002,Løgting,Miðflokkurin,Tal av sætum,1.0
2004,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
2004,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
2004,Løgting,Miðflokkurin,Tal av sætum,2.0
2008,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
2008,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
2008,Løgting,Miðflokkurin,Tal av sætum,3.0
2011,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
2011,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
2011,Løgting,Miðflokkurin,Tal av sætum,2.0
2012,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
2012,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
2012,Løgting,Miðflokkurin,Tal av sætum,
2015,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
2015,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
2015,Løgting,Miðflokkurin,Tal av sætum,2.0
2016,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
2016,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
2016,Løgting,Miðflokkurin,Tal av sætum,
2019,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
2019,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
2019,Løgting,Miðflokkurin,Tal av sætum,2.0
2020,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
2020,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
2020,Løgting,Miðflokkurin,Tal av sætum,
2022,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,0.0
2022,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,0.0
2022,Løgting,Miðflokkurin,Tal av sætum,2.0
1984,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,0.0
1984,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,0.0
1984,Løgting,Sambandsflokkurin,Tal av sætum,7.0
1988,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,0.0
1988,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,0.0
1988,Løgting,Sambandsflokkurin,Tal av sætum,7.0
1990,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,16.7
1990,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,1.0
1990,Løgting,Sambandsflokkurin,Tal av sætum,6.0
1992,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1992,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1992,Løgting,Sambandsflokkurin,Tal av sætum,
1994,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,25.0
1994,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,2.0
1994,Løgting,Sambandsflokkurin,Tal av sætum,8.0
1996,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1996,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1996,Løgting,Sambandsflokkurin,Tal av sætum,
1998,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,16.7
1998,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,1.0
1998,Løgting,Sambandsflokkurin,Tal av sætum,6.0
2000,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2000,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2000,Løgting,Sambandsflokkurin,Tal av sætum,
2002,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,12.5
2002,Løgting,Sambandsflokkurin,Tal av sætum hjá kvinnum,1.0
2002,Løgting,Sambandsflokkurin,Tal av sætum,8.0
2004,Løgting,Sambandsflokkurin,Partur av sætum hjá kvinnum,14.3
