Year,Series,source,Units,Main source,Value
1993,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.30375310536
1994,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.32236422909
1995,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.33073567386
1996,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.3349713705
1997,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.3275333271
1998,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.35072948847
1999,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.377304658080001
2000,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.38712617502
2001,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.49432176153
2002,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.47621071818
2003,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.4672247958
2004,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.47873266407
2005,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.4897402815
2006,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.47747189307
2007,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.47760008901
2008,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.40404526194
2009,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.45889966845
2010,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.50676975771
2011,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.41673026088
2012,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.48629943531
2013,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.47745654066
2014,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.50408307804
2015,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.49617259305
2016,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.4500081339
2017,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.58925139312
2018,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.66817337964
2019,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.66480694293
2020,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.68912389911
2021,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.69900561162
1991,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.000133498368
1992,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.105456085218
1993,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.142891670808
1994,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.140303973618
1995,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.131880348798
1996,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.142483516596
1997,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.138417553284
1998,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.112634336262
1999,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.122086898274
2000,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.136642505082
2001,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.128780168412
2002,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.0791443959
2003,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.069801958696
2004,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.079021065324
2005,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.068142196914
2006,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.02736476526
2007,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.023694150276
2008,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.021673467108
2009,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.06430073718
2010,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.03607481241
2011,Carbon dioxide emissions from fuel combustion, - International bunkers,million tonnes,,0.04391351781
