Year,countrygroup,Units,Series,Value
2001,Developing countries excluding China,DKK mill.,Faroese merchandise export,24.8713
2001,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,3.42672048238033
2001,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.576989934731397
2002,Developing countries excluding China,DKK mill.,Faroese merchandise import,161.0755
2002,Developing countries excluding China,DKK mill.,Faroese merchandise export,41.4013
2002,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.09457169133642
2002,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.977732741557525
2003,Developing countries excluding China,DKK mill.,Faroese merchandise import,160.5562
2003,Developing countries excluding China,DKK mill.,Faroese merchandise export,44.7647
2003,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,3.29980670106801
2003,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,1.14422154915523
2004,Developing countries excluding China,DKK mill.,Faroese merchandise import,171.6452
2004,Developing countries excluding China,DKK mill.,Faroese merchandise export,57.7906
2004,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.56156767114762
2004,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,1.56645293845793
2005,Developing countries excluding China,DKK mill.,Faroese merchandise import,295.62
2005,Developing countries excluding China,DKK mill.,Faroese merchandise export,55.2882
2005,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,6.58375336255927
2005,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,1.54162717088541
2006,Developing countries excluding China,DKK mill.,Faroese merchandise import,283.6402
2006,Developing countries excluding China,DKK mill.,Faroese merchandise export,59.0913
2006,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,6.04507082621124
2006,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,1.52743976510049
2007,Developing countries excluding China,DKK mill.,Faroese merchandise import,520.2842
2007,Developing countries excluding China,DKK mill.,Faroese merchandise export,201.0921
2007,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,9.42184086702981
2007,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,4.9572493782734
2008,Developing countries excluding China,DKK mill.,Faroese merchandise import,247.4243
2008,Developing countries excluding China,DKK mill.,Faroese merchandise export,290.3476
2008,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.92786829185371
2008,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,6.68132912398065
2009,Developing countries excluding China,DKK mill.,Faroese merchandise import,484.5968
2009,Developing countries excluding China,DKK mill.,Faroese merchandise export,387.6079
2009,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,11.5082739954322
2009,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,9.44293656673421
2010,Developing countries excluding China,DKK mill.,Faroese merchandise import,209.7058
2010,Developing countries excluding China,DKK mill.,Faroese merchandise export,609.8908
2010,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.79887931303368
2010,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,12.9853966696118
2011,Developing countries excluding China,DKK mill.,Faroese merchandise import,336.9545
2011,Developing countries excluding China,DKK mill.,Faroese merchandise export,644.3017
2011,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,6.3830902480944
2011,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,11.8848001959705
2012,Developing countries excluding China,DKK mill.,Faroese merchandise import,426.0517
