Year,slag av tilfari,Units,Series,Slag av tilfari,Value
2010,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,5.40929839042509
2010,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,19.9886077686782
2010,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,219.7649
2010,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.53497523730912
2010,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,16.7577816412743
2011,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,935.4358
2011,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,19.3647952635283
2011,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,69.5356882684388
2011,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,359.5652
2011,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,7.44348942160394
2011,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,26.7283053090109
2011,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,1.0394
2011,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.021516995818325
2011,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.077263874641333
2011,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,366.4015
2011,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,7.58501014366745
2011,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,27.236482167016
2011,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,197.7462
2011,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.09361569991306
2011,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,14.6994781677891
2012,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,943.6587
2012,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,19.6166448394138
2012,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,67.11893737330631
2012,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,225.2743
2012,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.68297058517826
2012,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,16.0229240015648
2012,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,3.4374
2012,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.071456189585282
2012,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.244489491091433
