Year,Units,Slag av tilfari,Value
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,17.1
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,6.1
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.0
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,8.3
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,2.7
2009,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,67.4
2009,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,24.2
2009,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,-0.1
2009,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,32.7
2009,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,10.6
2010,Innlendis tilfarsnýtsla (1.000 tons),,756.4
2010,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,344.0
2010,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,-3.2
2010,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,262.1
2010,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,153.5
2010,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,15.6
2010,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.1
2010,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,-0.1
2010,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,5.4
2010,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.2
2010,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,57.9
2010,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,26.3
2010,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,-0.2
2010,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,20.1
2010,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,11.8
2011,Innlendis tilfarsnýtsla (1.000 tons),,876.7
2011,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,359.6
2011,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,1.0
2011,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,366.4
2011,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,149.7
2011,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,18.1
2011,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.4
2011,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.0
2011,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,7.6
2011,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.1
2011,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,65.3
2011,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,26.8
2011,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.1
2011,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,27.3
2011,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,11.2
2012,Innlendis tilfarsnýtsla (1.000 tons),,905.2
2012,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,225.3
2012,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,3.4
2012,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,472.7
2012,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,203.8
2012,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,18.8
2012,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,4.7
2012,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2012,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,9.8
2012,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,4.2
2012,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,64.7
2012,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,16.1
2012,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.2
2012,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,33.8
2012,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,14.6
2013,Innlendis tilfarsnýtsla (1.000 tons),,1044.4
2013,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,342.9
2013,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,4.9
2013,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,444.6
2013,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,252.0
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,21.7
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.1
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,9.2
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,5.2
2013,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,69.5
2013,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,22.8
2013,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.3
