Year,Units,Series,orkukelda,Orkukelda,Value
2018,,,,Lívfrøðilig brennievni,0.0
2019,,,,,1036.4
2019,,,,Vatn,780.6
2019,,,,Vindur,250.7
2019,,,,Sólin,5.1
2019,,,,Havið,0.0
2019,,,,Lívfrøðilig brennievni,0.0
2020,,,,,1150.1
2020,,,,Vatn,768.3
2020,,,,Vindur,368.7
2020,,,,Sólin,5.0
2020,,,,Havið,1.9
2020,,,,Lívfrøðilig brennievni,6.2
2021,,,,,1224.7
2021,,,,Vatn,756.6
2021,,,,Vindur,428.8
2021,,,,Sólin,5.0
2021,,,,Havið,1.9
2021,,,,Lívfrøðilig brennievni,32.4
2022,,,,,1200.5
2022,,,,Vatn,741.7
2022,,,,Vindur,420.3
2022,,,,Sólin,4.9
2022,,,,Havið,1.9
2022,,,,Lívfrøðilig brennievni,31.8
