Year,data.measure,Value
2015,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,2.9
2015,data.annualgrowthofexportsofgoodsandservices,5.5
2015,data.annualgrowthofimportsofgoodsandservices,5.2
2015,data.annualinflationconsumerprices,-1.7
2015,data.totalunemploymentoutoftotallabourforce,3.3
2016,data.merchandisetrade,77.5
2016,data.personalremittances,5.7
2016,data.currentaccountbalance,12.7
2016,data.foreigndirectinvestment,..
2016,data.portfolioinvestment,..
2016,data.reservesinmonthsofimports,..
2016,data.debtservice,..
2016,data.externaldebtstocks,119.7
2016,data.DECalternativeconversionfactor,673.3
2016,data.annualbroadmoneygrowth,..
2016,data.broadmoney,..
2016,data.banknonperformingloans,..
2016,data.bankcapitaltoassetsratio,..
2016,data.taxrevenuegdp,39.4
2016,data.cashsurplusdeficit,12.7
2016,data.grossPSD,..
2016,data.annualGDPgrowth,9.5
2016,data.annualgrowthofthegrosscapitalformation,0.5
2016,data.annualgrowthofhouseholdsandNPISHs,7.0
2016,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,7.1
2016,data.annualgrowthofexportsofgoodsandservices,12.1
2016,data.annualgrowthofimportsofgoodsandservices,4.4
2016,data.annualinflationconsumerprices,-0.3
2016,data.totalunemploymentoutoftotallabourforce,3.5
2017,data.merchandisetrade,81.5
2017,data.personalremittances,5.2
2017,data.currentaccountbalance,14.9
2017,data.foreigndirectinvestment,..
2017,data.portfolioinvestment,..
2017,data.reservesinmonthsofimports,..
2017,data.debtservice,..
2017,data.externaldebtstocks,110.2
2017,data.DECalternativeconversionfactor,659.5
2017,data.annualbroadmoneygrowth,..
2017,data.broadmoney,..
2017,data.banknonperformingloans,..
2017,data.bankcapitaltoassetsratio,..
2017,data.taxrevenuegdp,40.9
2017,data.cashsurplusdeficit,14.9
2017,data.grossPSD,..
2017,data.annualGDPgrowth,3.9
2017,data.annualgrowthofthegrosscapitalformation,8.6
2017,data.annualgrowthofhouseholdsandNPISHs,-0.5
2017,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,3.6
2017,data.annualgrowthofexportsofgoodsandservices,7.4
2017,data.annualgrowthofimportsofgoodsandservices,5.7
2017,data.annualinflationconsumerprices,1.1
2017,data.totalunemploymentoutoftotallabourforce,2.5
2018,data.merchandisetrade,78.0
2018,data.personalremittances,5.2
2018,data.currentaccountbalance,6.0
2018,data.foreigndirectinvestment,..
2018,data.portfolioinvestment,..
2018,data.reservesinmonthsofimports,..
2018,data.debtservice,..
2018,data.externaldebtstocks,114.6
2018,data.DECalternativeconversionfactor,631.7
2018,data.annualbroadmoneygrowth,..
2018,data.broadmoney,..
2018,data.banknonperformingloans,..
2018,data.bankcapitaltoassetsratio,..
2018,data.taxrevenuegdp,41.9
2018,data.cashsurplusdeficit,8.5
2018,data.grossPSD,..
2018,data.annualGDPgrowth,2.4
2018,data.annualgrowthofthegrosscapitalformation,32.7
2018,data.annualgrowthofhouseholdsandNPISHs,0.3
2018,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,5.5
2018,data.annualgrowthofexportsofgoodsandservices,-4.1
2018,data.annualgrowthofimportsofgoodsandservices,8.7
2018,data.annualinflationconsumerprices,1.2
2018,data.totalunemploymentoutoftotallabourforce,1.8
2019,data.merchandisetrade,80.7
2019,data.personalremittances,4.8
2019,data.currentaccountbalance,10.1
2019,data.foreigndirectinvestment,..
2019,data.portfolioinvestment,..
2019,data.reservesinmonthsofimports,..
2019,data.debtservice,..
2019,data.externaldebtstocks,140.0
2019,data.DECalternativeconversionfactor,667.0
2019,data.annualbroadmoneygrowth,..
2019,data.broadmoney,..
2019,data.banknonperformingloans,..
2019,data.bankcapitaltoassetsratio,..
2019,data.taxrevenuegdp,41.4
2019,data.cashsurplusdeficit,12.0
2019,data.grossPSD,..
2019,data.annualGDPgrowth,8.6
2019,data.annualgrowthofthegrosscapitalformation,1.8
2019,data.annualgrowthofhouseholdsandNPISHs,5.1
2019,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,4.9
2019,data.annualgrowthofexportsofgoodsandservices,14.2
2019,data.annualgrowthofimportsofgoodsandservices,5.8
2019,data.annualinflationconsumerprices,1.3
2019,data.totalunemploymentoutoftotallabourforce,1.3
2020,data.merchandisetrade,77.1
2020,data.personalremittances,4.5
2020,data.currentaccountbalance,6.6
2020,data.foreigndirectinvestment,..
2020,data.portfolioinvestment,..
2020,data.reservesinmonthsofimports,..
2020,data.debtservice,..
2020,data.externaldebtstocks,..
2020,data.DECalternativeconversionfactor,653.4
2020,data.annualbroadmoneygrowth,..
2020,data.broadmoney,..
2020,data.banknonperformingloans,..
