Year,Series,energy source,Units,Energy source,Value
2007,,,,Hydro,655.7
2007,,,,Wind,85.3
2007,,,,Solar,0.0
2007,,,,Ocean,0.0
2007,,,,Biofuel,0.0
2008,,,,,739.6
2008,,,,Hydro,654.5
2008,,,,Wind,85.1
2008,,,,Solar,0.0
2008,,,,Ocean,0.0
2008,,,,Biofuel,0.0
2009,,,,,737.0
2009,,,,Hydro,652.2
2009,,,,Wind,84.8
2009,,,,Solar,0.0
2009,,,,Ocean,0.0
2009,,,,Biofuel,0.0
2010,,,,,735.6
2010,,,,Hydro,650.9
2010,,,,Wind,84.7
2010,,,,Solar,0.0
2010,,,,Ocean,0.0
2010,,,,Biofuel,0.0
2011,,,,,736.9
2011,,,,Hydro,652.1
2011,,,,Wind,84.8
2011,,,,Solar,0.0
2011,,,,Ocean,0.0
2011,,,,Biofuel,0.0
2012,,,,,991.8
2012,,,,Hydro,813.6
2012,,,,Wind,178.2
2012,,,,Solar,0.0
2012,,,,Ocean,0.0
2012,,,,Biofuel,0.0
2013,,,,,996.0
2013,,,,Hydro,817.0
2013,,,,Wind,179.0
2013,,,,Solar,0.0
2013,,,,Ocean,0.0
2013,,,,Biofuel,0.0
2014,,,,,1239.9
2014,,,,Hydro,817.5
2014,,,,Wind,422.5
2014,,,,Solar,0.0
2014,,,,Ocean,0.0
2014,,,,Biofuel,0.0
2015,,,,,1238.9
2015,,,,Hydro,812.7
2015,,,,Wind,420.0
2015,,,,Solar,0.0
2015,,,,Ocean,6.2
2015,,,,Biofuel,0.0
2016,,,,,1220.4
2016,,,,Hydro,804.6
2016,,,,Wind,415.8
2016,,,,Solar,0.0
2016,,,,Ocean,0.0
2016,,,,Biofuel,0.0
2017,,,,,1205.7
2017,,,,Hydro,794.9
2017,,,,Wind,410.8
2017,,,,Solar,0.0
2017,,,,Ocean,0.0
2017,,,,Biofuel,0.0
2018,,,,,1118.3
2018,,,,Hydro,792.1
2018,,,,Wind,326.2
2018,,,,Solar,0.0
2018,,,,Ocean,0.0
2018,,,,Biofuel,0.0
2019,,,,,1036.4
2019,,,,Hydro,780.6
2019,,,,Wind,250.7
2019,,,,Solar,5.1
2019,,,,Ocean,0.0
2019,,,,Biofuel,0.0
2020,,,,,1150.1
2020,,,,Hydro,768.3
2020,,,,Wind,368.7
2020,,,,Solar,5.0
2020,,,,Ocean,1.9
2020,,,,Biofuel,6.2
2021,,,,,1224.7
2021,,,,Hydro,756.6
2021,,,,Wind,428.8
2021,,,,Solar,5.0
2021,,,,Ocean,1.9
2021,,,,Biofuel,32.4
2022,,,,,1200.5
2022,,,,Hydro,741.7
2022,,,,Wind,420.3
2022,,,,Solar,4.9
2022,,,,Ocean,1.9
2022,,,,Biofuel,31.8
