Year,Series,indicator,Units,Value
2017,Total,Domestic material consumption per capita,"1,000 tonnes",30.4167198659378
2017,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",77.75033401666511
2017,Biomass,Domestic material consumption,"1,000 tonnes",442.6992
2017,Biomass,Domestic material consumption per capita,"1,000 tonnes",8.83172804532578
2017,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",22.5754061744638
2017,Metallic minerals,Domestic material consumption,"1,000 tonnes",46.6164
2017,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.929984439213183
2017,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",2.37719915552428
2017,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",757.3569
2017,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",15.1090631608347
2017,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",38.6213474895206
2017,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",277.9959
2017,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.54594222559151
2017,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",14.1763760976655
2018,Total,Domestic material consumption,"1,000 tonnes",1520.6812
2018,Total,Domestic material consumption per capita,"1,000 tonnes",29.8949466751855
2018,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",75.7277412864961
2018,Biomass,Domestic material consumption,"1,000 tonnes",408.9809
2018,Biomass,Domestic material consumption per capita,"1,000 tonnes",8.04012188529022
2018,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",20.3666618528054
2018,Metallic minerals,Domestic material consumption,"1,000 tonnes",47.2689
2018,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.929255418489212
2018,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",2.35392337992819
2018,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",764.7759
2018,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",15.0346665356072
2018,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",38.08474221772929
2018,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",299.6555
2018,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.89090283579889
2018,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",14.9224138360333
2019,Total,Domestic material consumption,"1,000 tonnes",1557.6626
2019,Total,Domestic material consumption per capita,"1,000 tonnes",30.1358651911469
2019,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",71.448479900189
2019,Biomass,Domestic material consumption,"1,000 tonnes",374.5313
2019,Biomass,Domestic material consumption per capita,"1,000 tonnes",7.24600100603622
2019,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",17.1793892079335
2019,Metallic minerals,Domestic material consumption,"1,000 tonnes",26.1614
2019,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.50614069029562
2019,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",1.19999816523861
2019,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",872.5635
2019,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",16.8813554403343
2019,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",40.0236454874044
2019,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",284.4065
2019,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.50236998916576
2019,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",13.045451626516
2020,Total,Domestic material consumption,"1,000 tonnes",1788.9188
2020,Total,Domestic material consumption per capita,"1,000 tonnes",34.0756173985923
2020,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",84.376196248414
