Year,Series,sex,age,Units,Value
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,3.5
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,2.9
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,3.5
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,3.0
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,3.2
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,3.8
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,4.3
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,3.2
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,3.5
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,3.1
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,2.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,2.2
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,2.7
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,2.5
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,1.9
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,2.5
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,1.9
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,2.2
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 18 - 24,pct.,3.0
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,3.1
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,3.6
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,3.9
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,4.0
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.9
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.8
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.9
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.7
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.6
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.3
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.0
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.6
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.5
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,2.6
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 25 - 54,pct.,3.0
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,4.2
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,4.0
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,4.0
