Year,Slag av tilfari,Mát,Value
2017,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,38.6
2017,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,370.9
2017,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.4
2017,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,18.9
2018,Tilsamans,Innlendis tilfarsnýtsla,1579.6
2018,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,31.1
2018,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,78.7
2018,Biomassi,Innlendis tilfarsnýtsla,409.0
2018,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.0
2018,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,20.4
2018,Metalmálmur,Innlendis tilfarsnýtsla,47.3
2018,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.9
2018,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,2.4
2018,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,764.8
2018,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,15.0
2018,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,38.1
2018,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,358.5
2018,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.0
2018,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,17.9
