"Year","Units","material type","Value"
"2012","data.domesticmaterialconsumptionpercapita","data.biomass",4.68
"2012","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.07
"2012","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",9.83
"2012","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",5.04
"2012","data.domesticmaterialconsumptionperunitofgdp","",67.12
"2012","data.domesticmaterialconsumptionperunitofgdp","data.biomass",16.02
"2012","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.24
"2012","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",33.62
"2012","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",17.23
"2012","","",64.84
"2012","","data.biomass",15.48
"2012","","data.metallicminerals",0.24
"2012","","data.non-metallicminerals",32.48
"2012","","data.fossilenergyandotherproducts",16.64
"2013","data.domesticmaterialconsumption","",1090.18
"2013","data.domesticmaterialconsumption","data.biomass",342.88
"2013","data.domesticmaterialconsumption","data.metallicminerals",4.94
"2013","data.domesticmaterialconsumption","data.non-metallicminerals",444.55
"2013","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",297.81
"2013","data.domesticmaterialconsumptionpercapita","",22.68
"2013","data.domesticmaterialconsumptionpercapita","data.biomass",7.13
"2013","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.10
"2013","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",9.25
"2013","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",6.19
"2013","data.domesticmaterialconsumptionperunitofgdp","",72.16
"2013","data.domesticmaterialconsumptionperunitofgdp","data.biomass",22.69
"2013","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.33
"2013","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",29.42
"2013","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",19.71
"2013","","",70.76
"2013","","data.biomass",22.25
"2013","","data.metallicminerals",0.32
"2013","","data.non-metallicminerals",28.85
"2013","","data.fossilenergyandotherproducts",19.33
"2014","data.domesticmaterialconsumption","",1468.98
"2014","data.domesticmaterialconsumption","data.biomass",365.42
"2014","data.domesticmaterialconsumption","data.metallicminerals",6.06
"2014","data.domesticmaterialconsumption","data.non-metallicminerals",786.08
"2014","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",311.41
"2014","data.domesticmaterialconsumptionpercapita","",30.38
"2014","data.domesticmaterialconsumptionpercapita","data.biomass",7.56
"2014","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.13
"2014","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",16.26
"2014","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",6.44
"2014","data.domesticmaterialconsumptionperunitofgdp","",89.82
"2014","data.domesticmaterialconsumptionperunitofgdp","data.biomass",22.34
"2014","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.37
"2014","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",48.06
"2014","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",19.04
"2014","","",90.43
"2014","","data.biomass",22.50
"2014","","data.metallicminerals",0.37
"2014","","data.non-metallicminerals",48.39
"2014","","data.fossilenergyandotherproducts",19.17
"2015","data.domesticmaterialconsumption","",1222.53
"2015","data.domesticmaterialconsumption","data.biomass",404.20
"2015","data.domesticmaterialconsumption","data.metallicminerals",2.01
"2015","data.domesticmaterialconsumption","data.non-metallicminerals",463.25
"2015","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",353.07
"2015","data.domesticmaterialconsumptionpercapita","",25.03
"2015","data.domesticmaterialconsumptionpercapita","data.biomass",8.28
"2015","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.04
"2015","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",9.48
"2015","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",7.23
"2015","data.domesticmaterialconsumptionperunitofgdp","",70.60
"2015","data.domesticmaterialconsumptionperunitofgdp","data.biomass",23.34
"2015","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.12
"2015","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",26.75
"2015","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",20.39
"2015","","",74.53
"2015","","data.biomass",24.64
"2015","","data.metallicminerals",0.12
"2015","","data.non-metallicminerals",28.24
"2015","","data.fossilenergyandotherproducts",21.53
"2016","data.domesticmaterialconsumption","",1356.83
